date,open,high,low,close,volume,ema,atr,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1621252800,1.21481,1.2159,1.21415,1.21553,1158,1.2106428646412428,0.0011498042946291812,65.814269175561,0.0008252980392216003,-4.674449290033387e-05,0.0008720425321219341
1621256400,1.21553,1.21685,1.21553,1.21667,1078,1.2107028361373497,0.0011724970553452889,70.14807842337466,0.00098270868847683,8.853292508391659e-05,0.0008941757633929133
1621260000,1.21668,1.21685,1.21458,1.21468,1224,1.2107424099071276,0.0013188307812992497,56.6478463273175,0.0009360907220703485,3.353196694194801e-05,0.0009025587551284005
1621263600,1.21467,1.21521,1.21347,1.21397,1671,1.2107745252314348,0.0013749866771259967,52.74738191011562,0.000832260797141382,-5.623836638961484e-05,0.0008884991635309969
1621267200,1.21397,1.21498,1.21377,1.21469,1565,1.2108134851793808,0.0013529884535091884,56.05206785571569,0.0007988640092666532,-7.170812341147491e-05,0.0008705721326781282
1621270800,1.21469,1.21531,1.21389,1.21445,2244,1.2108496694064517,0.0013619233263746269,54.67931976272958,0.0007444492722219476,-0.00010089828836494453,0.0008453475605868921
1621274400,1.21444,1.21564,1.21424,1.21545,1271,1.2108954438402184,0.0013670002161913523,59.166646565047905,0.000773104970865246,-5.7794071777316955e-05,0.0008308990426425629
1621278000,1.21546,1.21574,1.21522,1.2156,634,1.210942255344296,0.0012540668540325156,59.80946891362695,0.000798711515718642,-2.575002153913685e-05,0.0008244615372577788
1621281600,1.21559,1.21575,1.2152,1.21565,566,1.210989098574701,0.0011601912734948536,60.035316640837515,0.000813660101963043,-8.641148235788757e-06,0.0008223012501988317
1621285200,1.21566,1.21613,1.21565,1.21587,476,1.2110376647580374,0.0010694991036955446,61.071872831056076,0.0008336493350380447,9.078467871370373e-06,0.0008245708671666744
1621288800,1.21587,1.21601,1.21566,1.21577,434,1.211084752670893,0.0009735658898694816,60.30620487039184,0.0008318329297829496,5.809650093020172e-06,0.0008260232796899295
1621292400,1.21578,1.21588,1.21516,1.21516,327,1.2111253023955608,0.000939757104553558,55.71735112834505,0.0007722692740443904,-4.300320451643136e-05,0.0008152724785608217
1621296000,1.21511,1.21535,1.21469,1.21523,158,1.2111661451577942,0.0009024561572797346,56.129889014222705,0.0007223858483342838,-7.430930418123049e-05,0.0007966951525155143
1621299600,1.21524,1.21553,1.2152,1.21529,271,1.2112071785393088,0.0008261286696424289,56.503929117955515,0.0006798573997197632,-9.347020223660085e-05,0.0007733276019563641
1621303200,1.21529,1.21576,1.21524,1.21563,211,1.211251186713047,0.0007853115136900856,58.65514153132323,0.0006659122345691326,-8.593229390978523e-05,0.0007518445284789178
1621306800,1.21563,1.21587,1.21536,1.21563,628,1.2112947569945094,0.0007486033118647423,58.65514153132323,0.0006473977919632112,-8.355738921256533e-05,0.0007309551811757766
1621310400,1.21564,1.21675,1.21558,1.21663,957,1.211347843989589,0.0008047895369494291,64.62330811112278,0.0007052865016941023,-2.0534943585339424e-05,0.0007258214452794418
1621314000,1.21664,1.2169,1.21624,1.21628,652,1.2113969201687973,0.0007854842653561858,61.28864347729378,0.0007146832229738553,-8.910577844469208e-06,0.0007235938008183245
1621317600,1.21629,1.21687,1.21623,1.21675,453,1.2114501846447299,0.0007660863633086909,63.97683001531858,0.0007513936658798404,2.223989204921267e-05,0.0007291537738306277
1621321200,1.21674,1.21674,1.21631,1.21643,435,1.2114997350462748,0.0007226081815341983,60.877182159269665,0.0007460654525910382,1.352934300832831e-05,0.0007325361095827099
1621324800,1.21644,1.21673,1.21637,1.21667,404,1.2115511804687,0.0006742604239963236,62.35049461938141,0.0007525340552554383,1.599835653818269e-05,0.0007365356987172556
1621328400,1.21666,1.21903,1.21652,1.21832,1455,1.2116185319068224,0.0009190257007968155,70.55915652379535,0.0008806500937506012,0.00011529151602667647,0.0007653585777239247
1621332000,1.21833,1.22052,1.21833,1.22024,1590,1.2117043176589934,0.001089822274023904,76.87689006773161,0.0011241524020444427,0.00028703505945641434,0.0008371173425880283
1621335600,1.22023,1.22193,1.21999,1.22185,1512,1.211805269722088,0.0012031793041540574,80.63042512516466,0.0014305527586615518,0.00047474833285881873,0.0009558044258027331
1621339200,1.22184,1.22233,1.22132,1.22174,1314,1.2119041227596792,0.0011774220636001772,79.67875104069287,0.0016455324938042803,0.0005517824544012378,0.0010937500394030426
1621342800,1.22175,1.22184,1.22077,1.22078,1047,1.2119924399461501,0.001163099121786837,71.72250880661986,0.0017186302065932413,0.0004999041337521589,0.0012187260728410824
1621346400,1.22077,1.22191,1.22068,1.22175,1053,1.2120895300959398,0.001172019238881934,74.49388209469636,0.001833693882350218,0.0004919742476073084,0.0013417196347429096
1621350000,1.22176,1.22335,1.2217,1.22212,1472,1.2121893357666271,0.0012357500070310002,75.48100556743881,0.0019324623589989098,0.00047259417940480005,0.0014598681795941098
